Date,Transaction_Count
2014-01-01,$840
2014-01-01,$487
2014-01-02,$1875
2014-01-02,$2122
2014-01-02,$3350
2014-01-02,$1661
2014-01-02,$1807
2014-01-02,$2051
2014-01-02,$1836
2014-01-02,$3049
2014-01-02,$2497
2014-01-02,$1320
2014-01-02,$2863
2014-01-02,$1309
2014-01-02,$1108
2014-01-02,$1903
2014-01-02,$1497
2014-01-02,$1157
2014-01-02,$1492
2014-01-02,$1409
2014-01-02,$1368
2014-01-02,$1302
2014-01-02,$2472
2014-01-02,$1315
2014-01-02,$790
2014-01-02,$1391
2014-01-02,$1112
2014-01-02,$758
2014-01-02,$1471
2014-01-02,$1213
2014-01-02,$2846
2014-01-02,$731
2014-01-02,$1116
2014-01-02,$1856
2014-01-02,$2038
2014-01-02,$1563
2014-01-02,$1405
2014-01-02,$1110
2014-01-02,$1510
2014-01-02,$4422
2014-01-02,$4235
2014-01-02,$4210
2014-01-02,$4334
2014-01-02,$3643
2014-01-02,$2463
2014-01-02,$2925
2014-01-02,$1884
2014-01-02,$927
2014-01-03,$1817
2014-01-03,$2090
2014-01-03,$3347
2014-01-03,$1534
2014-01-03,$1709
2014-01-03,$1887
2014-01-03,$1841
2014-01-03,$3042
2014-01-03,$2081
2014-01-03,$1012
2014-01-03,$2673
2014-01-03,$1171
2014-01-03,$946
2014-01-03,$1604
2014-01-03,$1393
2014-01-03,$1004
2014-01-03,$1162
2014-01-03,$1286
2014-01-03,$1244
2014-01-03,$1239
2014-01-03,$2687
2014-01-03,$1433
2014-01-03,$725
2014-01-03,$1244
2014-01-03,$892
2014-01-03,$690
2014-01-03,$1366
2014-01-03,$613
2014-01-03,$1173
2014-01-03,$2529
2014-01-03,$672
2014-01-03,$1035
2014-01-03,$1756
2014-01-03,$1753
2014-01-03,$1392
2014-01-03,$1326
2014-01-03,$968
2014-01-03,$1808
2014-01-03,$4167
2014-01-03,$3927
2014-01-03,$3673
2014-01-03,$3914
2014-01-03,$3240
2014-01-03,$2366
2014-01-03,$2580
2014-01-03,$1679
2014-01-03,$798
2014-01-04,$1294
2014-01-04,$2254
2014-01-04,$3810
2014-01-04,$1816
2014-01-04,$1783
2014-01-04,$2365
2014-01-04,$1805
2014-01-04,$3169
2014-01-04,$2587
2014-01-04,$1391
2014-01-04,$3095
2014-01-04,$1362
2014-01-04,$1389
2014-01-04,$2164
2014-01-04,$1355
2014-01-04,$1097
2014-01-04,$1534
2014-01-04,$1409
2014-01-04,$1957
2014-01-04,$1190
2014-01-04,$2499
2014-01-04,$1613
2014-01-04,$810
2014-01-04,$1568
2014-01-04,$1214
2014-01-04,$746
2014-01-04,$1573
2014-01-04,$691
2014-01-04,$1312
2014-01-04,$2643
2014-01-04,$749
2014-01-04,$1120
2014-01-04,$1850
2014-01-04,$2659
2014-01-04,$1921
2014-01-04,$1303
2014-01-04,$1184
2014-01-04,$1510
2014-01-04,$5341
2014-01-04,$5081
2014-01-04,$5600
2014-01-04,$5232
2014-01-04,$4581
2014-01-04,$3024
2014-01-04,$3772
2014-01-04,$2034
2014-01-04,$905
2014-01-05,$489
2014-01-05,$2088
2014-01-05,$3634
2014-01-05,$1954
2014-01-05,$1669
2014-01-05,$2269
2014-01-05,$1572
2014-01-05,$2840
2014-01-05,$2400
2014-01-05,$1104
2014-01-05,$3187
2014-01-05,$1226
2014-01-05,$1030
2014-01-05,$1330
2014-01-05,$1135
2014-01-05,$1203
2014-01-05,$1384
2014-01-05,$1411
2014-01-05,$1170
2014-01-05,$1066
2014-01-05,$1770
2014-01-05,$878
2014-01-05,$846
2014-01-05,$1715
2014-01-05,$1523
2014-01-05,$658
2014-01-05,$1642
2014-01-05,$667
2014-01-05,$1264
2014-01-05,$2569
2014-01-05,$631
2014-01-05,$1165
2014-01-05,$1395
2014-01-05,$2722
2014-01-05,$1705
2014-01-05,$1132
2014-01-05,$1317
2014-01-05,$1374
2014-01-05,$5123
2014-01-05,$4809
2014-01-05,$5223
2014-01-05,$5234
2014-01-05,$4701
2014-01-05,$2964
2014-01-05,$3176
2014-01-05,$2004
2014-01-05,$1107
2014-01-06,$1754
2014-01-06,$1764
2014-01-06,$3010
2014-01-06,$1331
2014-01-06,$1440
2014-01-06,$1630
2014-01-06,$1819
2014-01-06,$2845
2014-01-06,$1943
2014-01-06,$970
2014-01-06,$2371
2014-01-06,$858
2014-01-06,$729
2014-01-06,$1468
2014-01-06,$1397
2014-01-06,$897
2014-01-06,$1171
2014-01-06,$1279
2014-01-06,$1216
2014-01-06,$1147
2014-01-06,$2475
2014-01-06,$809
2014-01-06,$708
2014-01-06,$1196
2014-01-06,$1109
2014-01-06,$705
2014-01-06,$1277
2014-01-06,$625
2014-01-06,$1137
2014-01-06,$2346
2014-01-06,$648
2014-01-06,$1003
