Date,Transaction_Count
2017-01-01,$1642
2017-01-02,$516
2017-01-02,$2083
2017-01-02,$3918
2017-01-02,$1682
2017-01-02,$1293
2017-01-02,$2268
2017-01-02,$1681
2017-01-02,$2995
2017-01-02,$2646
2017-01-02,$1039
2017-01-02,$3094
2017-01-02,$1314
2017-01-02,$1120
2017-01-02,$1402
2017-01-02,$1336
2017-01-02,$864
2017-01-02,$2170
2017-01-02,$1364
2017-01-02,$1400
2017-01-02,$2316
2017-01-02,$1804
2017-01-02,$941
2017-01-02,$1003
2017-01-02,$1808
2017-01-02,$1519
2017-01-02,$600
2017-01-02,$2040
2017-01-02,$1573
2017-01-02,$1314
2017-01-02,$595
2017-01-02,$1834
2017-01-02,$627
2017-01-02,$984
2017-01-02,$2497
2017-01-02,$862
2017-01-02,$1315
2017-01-02,$1437
2017-01-02,$2250
2017-01-02,$1788
2017-01-02,$1312
2017-01-02,$1420
2017-01-02,$1503
2017-01-02,$1928
2017-01-02,$5701
2017-01-02,$5218
2017-01-02,$5537
2017-01-02,$5156
2017-01-02,$4836
2017-01-02,$4014
2017-01-02,$3835
2017-01-02,$1606
2017-01-02,$1345
2017-01-02,$1015
2017-01-03,$1946
2017-01-03,$1922
2017-01-03,$3406
2017-01-03,$1560
2017-01-03,$1410
2017-01-03,$1939
2017-01-03,$1894
2017-01-03,$3026
2017-01-03,$2443
2017-01-03,$1106
2017-01-03,$2656
2017-01-03,$1270
2017-01-03,$939
2017-01-03,$1533
2017-01-03,$1479
2017-01-03,$811
2017-01-03,$1760
2017-01-03,$1489
2017-01-03,$1326
2017-01-03,$1735
2017-01-03,$1320
2017-01-03,$951
2017-01-03,$1114
2017-01-03,$2244
2017-01-03,$1006
2017-01-03,$620
2017-01-03,$1673
2017-01-03,$1409
2017-01-03,$1353
2017-01-03,$806
2017-01-03,$1587
2017-01-03,$591
2017-01-03,$1111
2017-01-03,$2672
2017-01-03,$844
2017-01-03,$1348
2017-01-03,$1657
2017-01-03,$1734
2017-01-03,$1638
2017-01-03,$1725
2017-01-03,$1236
2017-01-03,$1264
2017-01-03,$1800
2017-01-03,$4639
2017-01-03,$4129
2017-01-03,$3720
2017-01-03,$4346
2017-01-03,$3110
2017-01-03,$3286
2017-01-03,$2725
2017-01-03,$1762
2017-01-03,$1157
